Event.Nr CDA.nSCR CDA.Latency CDA.AmpSum CDA.SCR CDA.ISCR CDA.PhasicMax CDA.Tonic TTP.nSCR TTP.Latency TTP.AmpSum Global.Mean Global.MaxDeflection Event.Name EmoId ExpId VideoId ParticipantId OverUnder Participant Sex Age Language RepId
38 1 2.75 0.0169 0.0013 0.0611 0.1651 2.1615 0 NA 0 2.2707 0.0095 7 surprise Ekm 1344 001m24ee o 1 m 24 ee 6
39 0 NA 0 0.0021 0.1024 0.0821 2.2113 0 NA 0 2.2835 0.0022 1 anger Ekm 1344 001m24ee o 1 m 24 ee 6
40 2 1.813 0.0564 0.0047 0.2234 0.3691 2.2667 1 1.75 0.053900000000000003 2.2825 0.0366 4 neutral Ekm 1344 001m24ee o 1 m 24 ee 6
41 0 NA 0 0.0031 0.1466 0.5503 2.2625 0 NA 0 2.2887 0.0172 3 sad Ekm 1344 001m24ee o 1 m 24 ee 6
42 1 4 0.0179 0.0017 0.082 0.1478 2.2043 0 NA 0 2.2469 0.0032 5 disgust Ekm 1344 001m24ee o 1 m 24 ee 6
43 1 2.75 0.1868 0.0232 1.1158 0.8691 2.1813 1 1.875 0.1859 2.292 0.151 11 neutral Ver 1344 001m24ee o 1 m 24 ee 1
44 2 1.75 0.14 0.0108 0.5171 0.3795 2.2562 1 2.687 0.0753 2.3056 0.031 14 surprise Ver 1344 001m24ee o 1 m 24 ee 1
45 3 1.625 0.0721 0.0014 0.0675 2.0287 2.2084 1 1.687 0.073 2.2749 0.051 12 disgust Ver 1344 001m24ee o 1 m 24 ee 1
46 2 1.688 0.0302 0.0104 0.498 0.3318 2.2408 1 1.625 0.1008 2.3709 0.0331 8 anger Ver 1344 001m24ee o 1 m 24 ee 1
47 2 2.75 0.0642 0.0077 0.3699 0.3141 2.3429 1 2.5 0.0665 2.3957 0.0443 13 fear Ver 1344 001m24ee o 1 m 24 ee 1
48 2 2.937 0.0387 0.0057 0.2712 0.2685 2.3729 1 2.875 0.0501 2.3977 0.019 9 happy Ver 1344 001m24ee o 1 m 24 ee 1
49 2 2.313 0.032 0.0023 0.1106 0.2396 2.3527 0 NA 0 2.4327 4e-4 10 sad Ver 1344 001m24ee o 1 m 24 ee 1
50 0 NA 0 0.0012 0.0553 0.315 2.3176 0 NA 0 2.3239 2e-4 8 anger Ver 1344 001m24ee o 1 m 24 ee 2
51 1 3.813 0.0395 0.0045 0.2138 0.1378 2.2679 1 3.063 0.0182 2.2946 0.0046 11 neutral Ver 1344 001m24ee o 1 m 24 ee 2
52 1 2.563 0.0506 0 0 0.9286 2.2345 1 2.438 0.0473 2.3089 0.0545 12 disgust Ver 1344 001m24ee o 1 m 24 ee 2
53 3 2 0.0472 0.0058 0.2783 0.2841 2.2537 0 NA 0 2.4497 0.0022 9 happy Ver 1344 001m24ee o 1 m 24 ee 2
54 1 2.75 0.0223 0 0 1.0505 2.2866 1 2.688 0.0256 2.335 0.0094 13 fear Ver 1344 001m24ee o 1 m 24 ee 2
55 1 3.937 0.021 0.0028 0.136 0.113 2.2784 1 2.062 0.0171 2.3113 0.0188 14 surprise Ver 1344 001m24ee o 1 m 24 ee 2
56 0 NA 0 0.0023 0.1087 0.1764 2.2921 0 NA 0 2.3315 0.008 10 sad Ver 1344 001m24ee o 1 m 24 ee 2
57 0 NA 0 0.0013 0.0629 0.0485 2.3372 0 NA 0 2.4236 0 14 surprise Ver 1344 001m24ee o 1 m 24 ee 3
58 0 NA 0 0 0 0.0795 2.3482 0 NA 0 2.3539 0.0018 11 neutral Ver 1344 001m24ee o 1 m 24 ee 3
59 0 NA 0 9e-4 0.043 0.1417 2.3189 0 NA 0 2.3263 0.0021 9 happy Ver 1344 001m24ee o 1 m 24 ee 3
60 0 NA 0 3e-4 0.016 0.0647 2.2863 0 NA 0 2.3117 0.0042 8 anger Ver 1344 001m24ee o 1 m 24 ee 3
61 1 2.75 0.0181 0.0067 0.3213 0.5249 2.2759 1 2 0.184 2.2958 0.0317 10 sad Ver 1344 001m24ee o 1 m 24 ee 3
62 1 3.688 0.0136 0.0021 0.0993 0.3686 2.3173 0 NA 0 2.3938 0.0079 12 disgust Ver 1344 001m24ee o 1 m 24 ee 3
63 0 NA 0 0 0 0.0145 2.326 0 NA 0 2.3379 0 13 fear Ver 1344 001m24ee o 1 m 24 ee 3
64 1 3.187 0.0559 0.0063 0.304 0.2319 2.3156 1 2.437 0.0578 2.3211 0.035 8 anger Ver 1344 001m24ee o 1 m 24 ee 4
65 0 NA 0 0.0011 0.0549 0.0467 2.3094 0 NA 0 2.3352 6e-4 12 disgust Ver 1344 001m24ee o 1 m 24 ee 4
66 1 2.875 0.0143 0.0022 0.1032 0.0884 2.308 1 2.5 0.0173 2.3161 0.0121 9 happy Ver 1344 001m24ee o 1 m 24 ee 4
67 0 NA 0 0 0 0.0086 2.3006 0 NA 0 2.3061 0 11 neutral Ver 1344 001m24ee o 1 m 24 ee 4
68 0 NA 0 0.0023 0.11 0.081 2.2826 0 NA 0 2.3527 0.0016 13 fear Ver 1344 001m24ee o 1 m 24 ee 4
69 0 NA 0 2e-4 0.011 0.4511 2.2715 0 NA 0 2.3019 0.0162 10 sad Ver 1344 001m24ee o 1 m 24 ee 4
70 0 NA 0 7e-4 0.0336 0.022 2.2632 0 NA 0 2.2803 1e-4 14 surprise Ver 1344 001m24ee o 1 m 24 ee 4
71 1 3 0.0482 0.0056 0.2669 0.2012 2.2568 1 2.25 0.0489 2.269 0.0361 9 happy Ver 1344 001m24ee o 1 m 24 ee 5
72 0 NA 0 2e-4 0.0114 0.1243 2.2648 1 3.563 0.1561 2.2748 0.0039 10 sad Ver 1344 001m24ee o 1 m 24 ee 5
73 0 NA 0 0.0014 0.0692 0.0495 2.2776 0 NA 0 2.3681 0 8 anger Ver 1344 001m24ee o 1 m 24 ee 5
74 0 NA 0 6e-4 0.0266 0.0225 2.281 0 NA 0 2.3031 1e-4 13 fear Ver 1344 001m24ee o 1 m 24 ee 5
75 0 NA 0 6e-4 0.0312 0.0195 2.2711 0 NA 0 2.2807 1e-4 11 neutral Ver 1344 001m24ee o 1 m 24 ee 5
76 0 NA 0 0.0012 0.0561 0.1034 2.2383 0 NA 0 2.2466 0.0019 12 disgust Ver 1344 001m24ee o 1 m 24 ee 5
77 1 3.25 0.0122 0.0019 0.0894 0.4046 2.1949 0 NA 0 2.2196 0.0117 14 surprise Ver 1344 001m24ee o 1 m 24 ee 5
78 2 2.813 0.0467 0.0065 0.3141 0.2188 2.1815 1 2.25 0.0461 2.2355 0.0269 12 disgust Ver 1344 001m24ee o 1 m 24 ee 6
79 0 NA 0 0.0037 0.1757 0.4086 2.1837 0 NA 0 2.2176 0.0058 14 surprise Ver 1344 001m24ee o 1 m 24 ee 6
80 0 NA 0 5e-4 0.0223 0.027 2.1848 0 NA 0 2.2032 0.0011 9 happy Ver 1344 001m24ee o 1 m 24 ee 6
81 0 NA 0 2e-4 0.0092 0.0302 2.1845 0 NA 0 2.19 4e-4 11 neutral Ver 1344 001m24ee o 1 m 24 ee 6
82 0 NA 0 0.0012 0.0593 0.1084 2.169 0 NA 0 2.1714 0.0055 8 anger Ver 1344 001m24ee o 1 m 24 ee 6
